collocation,count,count_nested,length,lambda,z,shopkeeper_term,period,type,normalized_freq,doc_count,n_periods
染坊主沈榮正,5,0,2,11.257035983902634,18.043590845897963,坊主,1872-1894,2-gram,0.5166890565257828,9677,1
坊主王君,6,0,2,7.91823154497772,17.33246549346706,坊主,1872-1894,2-gram,0.6200268678309394,9677,1
訊槽坊主,5,0,2,5.474260888232127,9.747823885569538,坊主,1872-1894,2-gram,0.5166890565257828,9677,1
坊主遂,7,0,2,2.918183692983344,7.806592277007387,坊主,1872-1894,2-gram,0.7233646791360959,9677,1
坊主見,5,0,2,2.1860841011586114,5.041159267472302,坊主,1872-1894,2-gram,0.5166890565257828,9677,1
元坊主,6,0,2,1.849569712181395,4.6233539319530115,坊主,1872-1894,2-gram,0.6200268678309394,9677,1
昌漆店主吳林順,7,0,2,17.571090608308555,8.642680654352777,店主,1872-1894,2-gram,0.7233646791360959,9677,1
新裕紙店主張輔庭,6,0,2,17.42799046627407,8.55110173221388,店主,1872-1894,2-gram,0.6200268678309394,9677,1
森昌店主夏希和,5,0,2,17.260937083216596,8.440764040528121,店主,1872-1894,2-gram,0.5166890565257828,9677,1
江栅鎭恒泰油酒店主,5,0,2,17.260937083216596,8.440764040528121,店主,1872-1894,2-gram,0.5166890565257828,9677,1
王海豐東美齋肉店主,5,0,2,17.260937083216596,8.440764040528121,店主,1872-1894,2-gram,0.5166890565257828,9677,1
錦昌店主范杖漁,5,0,2,17.260937083216596,8.440764040528121,店主,1872-1894,2-gram,0.5166890565257828,9677,1
志成昌漆店主,7,0,2,16.472477618033768,9.844187024499114,店主,1872-1894,2-gram,0.7233646791360959,9677,1
唐永愼米店主唐心泉,5,0,2,16.162324092942796,9.576279226567205,店主,1872-1894,2-gram,0.5166890565257828,9677,1
店主頭店中人,6,0,2,15.818551150627103,9.898497502052095,店主,1872-1894,2-gram,0.6200268678309394,9677,1
東美齋肉店主徐松泉,5,0,2,15.651497767570618,9.740763905931528,店主,1872-1894,2-gram,0.5166890565257828,9677,1
紙店主張志和,6,0,2,15.230764485724984,12.489352028848314,店主,1872-1894,2-gram,0.6200268678309394,9677,1
裱畫店主許君海珊,5,0,2,14.863038302384831,9.667567234454971,店主,1872-1894,2-gram,0.5166890565257828,9677,1
豐順煤炭店主周瑞卿,5,0,2,14.863038302384831,9.667567234454971,店主,1872-1894,2-gram,0.5166890565257828,9677,1
賞墨居裱畫店主,5,0,2,14.863038302384831,9.667567234454971,店主,1872-1894,2-gram,0.5166890565257828,9677,1
萬泰店主張榮堂,6,0,2,14.863036899168026,9.784047191108627,店主,1872-1894,2-gram,0.6200268678309394,9677,1
貨店主龔錦年,6,0,2,14.863036899168026,9.784047191108627,店主,1872-1894,2-gram,0.6200268678309394,9677,1
祥順木器店主王曉芳,5,0,2,14.552884777295827,13.024388156906207,店主,1872-1894,2-gram,0.5166890565257828,9677,1
和昌竹布店主柯九,5,0,2,14.552881970864187,9.564433059383395,店主,1872-1894,2-gram,0.5166890565257828,9677,1
茂源洋貨店主李洪,11,0,2,14.443171827802443,9.86370446338989,店主,1872-1894,2-gram,1.1367159243567222,9677,1
規費施正豐米店主,5,0,2,14.125435149597733,9.377910482938782,店主,1872-1894,2-gram,0.5166890565257828,9677,1
恒泰油酒店主顧某,5,0,2,14.042052839047571,9.336878128480866,店主,1872-1894,2-gram,0.5166890565257828,9677,1
源泰冷店主陳順金,6,0,2,13.817059924643164,9.298777411165972,店主,1872-1894,2-gram,0.6200268678309394,9677,1
打傷店主頭,6,0,2,13.53615332947909,9.137162026564752,店主,1872-1894,2-gram,0.6200268678309394,9677,1
余保大茶葉店主余大旺,5,0,2,13.369112575464419,15.404008296265973,店主,1872-1894,2-gram,0.5166890565257828,9677,1
舊貨店主王尙堂,5,0,2,13.150042170658311,8.836472538892034,店主,1872-1894,2-gram,0.5166890565257828,9677,1
米店主張豫來,5,0,2,12.99823264968307,8.743581414453132,店主,1872-1894,2-gram,0.5166890565257828,9677,1
記肉店主先後,5,0,2,12.665782853824062,8.535349703501563,店主,1872-1894,2-gram,0.5166890565257828,9677,1
萬泰炒貨店主積欠,6,0,2,11.878824571785652,8.079470395142819,店主,1872-1894,2-gram,0.6200268678309394,9677,1
楊雨莊飯店主,5,0,2,11.827135093442397,7.9910293102702745,店主,1872-1894,2-gram,0.5166890565257828,9677,1
儆記肉店主,5,0,2,11.400028071259017,7.707796027715278,店主,1872-1894,2-gram,0.5166890565257828,9677,1
鐵店主張桂林,8,0,2,11.264895306303824,18.548083142343128,店主,1872-1894,2-gram,0.8267024904412524,9677,1
畔源泰冷店主,6,0,2,10.825144349761445,7.3714490318099735,店主,1872-1894,2-gram,0.6200268678309394,9677,1
店主掮客本行,10,0,3,10.765299022212998,4.353195794305317,店主,1872-1894,3-gram,1.0333781130515656,9677,1
種買賣店主,10,0,3,10.458597167727016,4.233644598251214,店主,1872-1894,3-gram,1.0333781130515656,9677,1
潤源增舊貨店主質,5,0,2,9.672934554829343,6.547085868129997,店主,1872-1894,2-gram,0.5166890565257828,9677,1
探森昌店主,5,0,2,9.408763818691135,6.368626071827025,店主,1872-1894,2-gram,0.5166890565257828,9677,1
生泰洋貨店主某甲,5,0,2,9.368293937160686,6.341277538593045,店主,1872-1894,2-gram,0.5166890565257828,9677,1
代錦昌店主,5,0,2,9.104640656149096,6.163058451676626,店主,1872-1894,2-gram,0.5166890565257828,9677,1
控新裕紙店主,6,0,2,9.048302325118833,6.164719987359008,店主,1872-1894,2-gram,0.6200268678309394,9677,1
控萬泰炒貨店主,6,0,2,9.048302325118833,6.164719987359008,店主,1872-1894,2-gram,0.6200268678309394,9677,1
幸伊店主,6,0,3,9.042841482713037,5.2852216425072,店主,1872-1894,3-gram,0.6200268678309394,9677,1
須生泰洋貨店主,5,0,2,8.905006821661583,6.028066943583288,店主,1872-1894,2-gram,0.5166890565257828,9677,1
施正豐米店主控,5,0,2,8.881709415934168,6.012311138092214,店主,1872-1894,2-gram,0.5166890565257828,9677,1
控豐順煤炭店主,5,0,2,8.880788681624049,6.011688445859421,店主,1872-1894,2-gram,0.5166890565257828,9677,1
當時店主遠,6,0,3,8.830055319182561,4.188859054260836,店主,1872-1894,3-gram,0.6200268678309394,9677,1
年始店主,5,0,3,8.822554153136332,5.5796526892732095,店主,1872-1894,3-gram,0.5166890565257828,9677,1
傳潤源增舊貨店主,5,0,2,8.6921569817608475,5.8841039667019945,店主,1872-1894,2-gram,0.5166890565257828,9677,1
店主遠逸,6,0,3,8.597504178601797,3.9126725941191838,店主,1872-1894,3-gram,0.6200268678309394,9677,1
護城河舊貨店主,5,0,2,8.545654806353365,17.555799868211757,店主,1872-1894,2-gram,0.5166890565257828,9677,1
店主蔡谷興,8,0,2,8.526187593596909,5.858772033992768,店主,1872-1894,2-gram,0.8267024904412524,9677,1
追茂源洋貨店主,10,0,2,8.513744641344198,9.750515659348794,店主,1872-1894,2-gram,1.0333781130515656,9677,1
奇當時店主,6,0,3,8.425567593356314,3.9965598743309205,店主,1872-1894,3-gram,0.6200268678309394,9677,1
回員店主,6,0,3,8.420074312428245,4.108745040414623,店主,1872-1894,3-gram,0.6200268678309394,9677,1
轉店主給還,6,0,3,8.362257438542464,4.056811182260789,店主,1872-1894,3-gram,0.6200268678309394,9677,1
店主吳桂華,6,0,2,8.257505852426963,5.626268143235255,店主,1872-1894,2-gram,0.6200268678309394,9677,1
店主楊兆蘭,6,0,2,8.257505852426963,5.626268143235255,店主,1872-1894,2-gram,0.6200268678309394,9677,1
店主浦子仁,6,0,2,8.257505852426963,5.626268143235255,店主,1872-1894,2-gram,0.6200268678309394,9677,1
店主鄧時福,6,0,2,8.257505852426963,5.626268143235255,店主,1872-1894,2-gram,0.6200268678309394,9677,1
店主黃濟美,6,0,2,8.257505852426963,5.626268143235255,店主,1872-1894,2-gram,0.6200268678309394,9677,1
元豐肉莊店主,5,0,2,8.093390280841199,5.478987263883139,店主,1872-1894,2-gram,0.5166890565257828,9677,1
嚴信隆絨衫店主,5,0,2,8.093390280841199,5.478987263883139,店主,1872-1894,2-gram,0.5166890565257828,9677,1
泳興皮鞋店主,5,0,2,8.093390280841199,5.478987263883139,店主,1872-1894,2-gram,0.5166890565257828,9677,1
店主傅正林,5,0,2,8.090242955902525,5.476857440642684,店主,1872-1894,2-gram,0.5166890565257828,9677,1
店主劉阿龍,5,0,2,8.090242955902525,5.476857440642684,店主,1872-1894,2-gram,0.5166890565257828,9677,1
店主汪子殿,5,0,2,8.090242955902525,5.476857440642684,店主,1872-1894,2-gram,0.5166890565257828,9677,1
店主沈年喬,5,0,2,8.090242955902525,5.476857440642684,店主,1872-1894,2-gram,0.5166890565257828,9677,1
店主沈瑞之,5,0,2,8.090242955902525,5.476857440642684,店主,1872-1894,2-gram,0.5166890565257828,9677,1
店主裘思山,5,0,2,8.090242955902525,5.476857440642684,店主,1872-1894,2-gram,0.5166890565257828,9677,1
外店主查,5,0,3,7.904215054644471,8.390945912805485,店主,1872-1894,3-gram,0.5166890565257828,9677,1
買賣店主掮客,10,0,3,7.7979661933568405,3.1517768012183067,店主,1872-1894,3-gram,1.0333781130515656,9677,1
夥突店主,5,0,3,7.779787759080674,3.7864991410819093,店主,1872-1894,3-gram,0.5166890565257828,9677,1
