collocation,count,count_nested,length,lambda,z,shopkeeper_term,period,type,normalized_freq,doc_count,n_periods
店主夫婦,6,0,3,6.1181068332014945,3.799556504757619,店主,1872-1894,3-gram,0.6200268678309394,9677,4
薙髮店主,13,0,2,5.382078263438997,15.023506523165606,店主,1872-1894,2-gram,1.3433915469670352,9677,3
鐘表店主,7,0,2,4.22955439195886,10.434194156456295,店主,1872-1894,2-gram,0.7233646791360959,9677,4
店主王某,11,0,2,3.421845509467916,11.036208242520273,店主,1872-1894,2-gram,1.1367159243567222,9677,3
店主夫婦,8,0,2,3.327627202953506,9.268243031408657,店主,1872-1894,2-gram,0.8267024904412524,9677,4
起火店主,5,0,2,3.0628988568030096,6.934318224808922,店主,1872-1894,2-gram,0.5166890565257828,9677,4
店主店中,10,0,3,3.021871314377355,3.3724571275968196,店主,1872-1894,3-gram,1.0333781130515656,9677,4
倒閉店主,23,0,2,3.013936298764681,14.103709108365353,店主,1872-1894,2-gram,2.376769660018601,9677,3
皮箱店主,9,0,2,2.907322429277331,8.68938332621871,店主,1872-1894,2-gram,0.9300403017464091,9677,3
店主婦,41,0,2,2.737289344355134,17.123594699531704,店主,1872-1894,2-gram,4.2368502635114185,9677,5
店主某甲,63,0,2,2.7004458940626215,20.87067376466948,店主,1872-1894,2-gram,6.510282112224863,9677,3
奉店主命,7,0,3,2.677147439820897,4.178329659768809,店主,1872-1894,3-gram,0.7233646791360959,9677,3
傳店主,107,0,2,2.5586074206662177,25.69809196134105,店主,1872-1894,2-gram,11.05714580965175,9677,4
逸店主,7,0,2,2.5487697696077993,6.8295993027581074,店主,1872-1894,2-gram,0.7233646791360959,9677,5
店主辭,24,0,2,2.495145989904608,12.076390340581154,店主,1872-1894,2-gram,2.4801074713237576,9677,4
店主允,28,0,2,2.2936084108784254,12.010929468031179,店主,1872-1894,2-gram,2.8934587165443837,9677,4
表店主,12,0,2,2.2915080777710113,7.960345065547018,店主,1872-1894,2-gram,1.2400537356618788,9677,3
告知店主,21,0,3,2.251079036326103,4.1081744324189575,店主,1872-1894,3-gram,2.1700940374082878,9677,3
身死店主,9,0,3,2.1870838950621514,2.3516021360793014,店主,1872-1894,3-gram,0.9300403017464091,9677,3
店主自行,11,0,2,2.165687438282366,7.230191474509706,店主,1872-1894,2-gram,1.1367159243567222,9677,4
店主索,39,0,2,2.1548024417977913,13.297389343392915,店主,1872-1894,2-gram,4.030174640901106,9677,4
押店主,90,0,2,2.043157799472124,19.014719019069314,店主,1872-1894,2-gram,9.30040301746409,9677,4
提店主,48,0,2,1.9120673245427922,13.102483712676232,店主,1872-1894,2-gram,4.960214942647515,9677,3
店主理論,5,0,2,1.8936263403911662,4.389549366268563,店主,1872-1894,2-gram,0.5166890565257828,9677,3
茶館店主,6,0,2,1.8888364077970174,4.759795873859235,店主,1872-1894,2-gram,0.6200268678309394,9677,3
疋店主,5,0,2,1.8298075628413226,4.244615204155465,店主,1872-1894,2-gram,0.5166890565257828,9677,3
