shopkeeper_term,collocation,count,lambda
莊主,翁壯明偉興綢莊主,6,18.00635663552318
號主,何信順磁號主何雲山,6,18.00635663552318
店主,豆腐店主錢鶴林,5,17.839302944330296
業主,夏茂如（原業主長江企業公司）,5,17.839302944330296
業主,馬紹良夏茂如（原業主,5,17.839302944330296
館主,戲劇家青雲館主,8,17.176007153037975
店主,義隆米店主丁善明,5,16.740690262191904
店家,李桂蓮筱文林（店家）,5,16.740690262191904
店主,悅來南貨店主龔芳來,5,15.89339161486367
業主,吳字第一六二四號土地執業主,5,15.642076793112018
號主,鑫昌棉布號主張子鑫,7,14.85361510455932
店家,筱文林（店家）趙松樵,5,14.543460963200225
號主,號號主周子澄,6,14.509842778511132
館主,青雲館主搜羅,8,14.100219974140515
掌櫃,孟老掌櫃,10,14.043260359494417
館主,申報館主筆先生,5,13.947480285395654
店東,香粉弄大上海飯店東,27,13.846560259154433
掌櫃,小內掌櫃,5,13.285407559459141
行主,本行主堂名,5,13.244179552957593
東主,開映司東主,6,12.319323437367723
東主,王乃東主演,9,10.394009821632451
東主,魯易史東主演,9,10.394009821632451
店家,店家劉利華,5,9.847855014862535
東家,東家奶奶,12,9.826889435766795
店東,店東督促,6,8.852863597485769
東家,說「東家,6,8.000117308497131
東家,東家太太,16,7.664158143609226
行主,屬本行主,5,7.390441867762444
掌櫃,老掌櫃,9,6.268386232704495
店東,承店東,9,5.796387992322137
