id,Type,Years,DocCount,Degree2,Degree2_norm,Eig2,Betw2,Close2
丁少蘭,PERSON,"1901, 1926, 1924, 1927, 1917, 1928, 1934, 1930",12,2,7.766990291262136e-4,0.003726755717917892,12.862635997206116,1.4436263894903998e-4
丁張,PERSON,"1925, 1903, 1889, 1910, 1906",6,0,0,0,0,NA
丁某甲,PERSON,"1908, 1901, 1904, 1900, 1894, 1898",11,4,0.0015533980582524273,0.03697949939503604,3779.840623030561,1.7196904557179707e-4
丁紹芬,PERSON,1900,7,3,0.0011650485436893205,0.023790400122392783,276.7533668371199,1.5227653418608191e-4
丁順生,PERSON,"1904, 1892, 1908",5,0,0,0,0,NA
七鋪巡防局,ORG,"1904, 1902, 1900, 1899",10,24,0.009320388349514564,0.0906643779532973,2148.713164378403,1.7391304347826088e-4
三七鋪巡防局,ORG,"1903, 1900, 1901, 1899, 1904, 1897",9,23,0.008932038834951457,0.07473546486670374,1025.1671054350443,1.6744809109176155e-4
三井洋行,ORG,"1901, 1928, 1932, 1896, 1917, 1895, 1918, 1898, 1894, 1902, 1903, 1927, 1925, 1933, 1931, 1908, 1904, 1913, 1921, 1919, 1897, 1939, 1914, 1929, 1916, 1930, 1906, 1934, 1923, 1937, 1924, 1940, 1893, 1922, 1942",69,13,0.005048543689320388,0.049751067007745474,804.1793827239096,1.8057060310581438e-4
三菱公司,ORG,"1882, 1888, 1884, 1896, 1886, 1885, 1887, 1915, 1883, 1918, 1881, 1914",18,3,0.0011650485436893205,0.001470625115017014,3421,1.3344008540165466e-4
三麻子,PERSON,"1916, 1888, 1924, 1936",5,0,0,0,0,NA
上海商務印書館,ORG,"1906, 1900, 1902, 1920, 1927, 1928, 1915, 1913, 1934, 1918, 1929, 1922, 1940, 1924, 1931, 1939, 1930, 1941, 1935, 1914, 1936, 1925",34,0,0,0,0,NA
上海巡警局,ORG,"1898, 1907, 1908",5,2,7.766990291262136e-4,0.004333666844679284,2.8346432454315025,1.385809312638581e-4
上海科發大藥房,ORG,"1930, 1933, 1934, 1931, 1928, 1937, 1922, 1889",15,0,0,0,0,NA
上海絲業會館,ORG,"1884, 1885, 1883, 1881, 1901, 1889, 1913, 1915, 1887, 1892, 1886, 1898, 1918, 1924, 1916, 1906",39,9,0.003495145631067961,0.00863081189535559,1504.8977769417943,1.5051173991571343e-4
上海縣署,ORG,"1918, 1926, 1920, 1915, 1921, 1922, 1927, 1914, 1919, 1917, 1925, 1924, 1916, 1928, 1895, 1900, 1891, 1887, 1911, 1923, 1913, 1886, 1901, 1903, 1899, 1885, 1904, 1910, 1902, 1888, 1896, 1881, 1905, 1897, 1883, 1898, 1909, 1882, 1906, 1879, 1889, 1884, 1880, 1907, 1890, 1878",361,175,0.06796116504854369,0.47028345670125743,144435.86692387037,2.1376656690893543e-4
上海自來水公司,ORG,"1940, 1933, 1924, 1930, 1928, 1895, 1934, 1938, 1932, 1929, 1918, 1927, 1937, 1948",36,0,0,0,0,NA
上議院,ORG,"1907, 1897, 1933, 1930, 1915, 1894, 1934",7,0,0,0,0,NA
下議院,ORG,"1902, 1907, 1913, 1915, 1948, 1930, 1922, 1941",9,0,0,0,0,NA
世和洋行,ORG,"1900, 1895, 1894, 1901, 1922",5,10,0.003883495145631068,0.03319781668209099,1610.9329978225146,1.773049645390071e-4
中和洋行,ORG,"1874, 1911, 1914, 1915, 1904, 1884, 1897, 1875",11,0,0,0,0,NA
中國紅十字會,ORG,"1931, 1915, 1947, 1913, 1937, 1921, 1895, 1928, 1917, 1930, 1923, 1926, 1934, 1936, 1927, 1920, 1933, 1946, 1940, 1924, 1939, 1938, 1905, 1918, 1929, 1948, 1941, 1919, 1911, 1916, 1932, 1925, 1912, 1922",100,0,0,0,0,NA
中國通商銀行,ORG,"1905, 1903, 1916, 1899, 1912, 1897, 1922, 1932, 1940, 1935, 1920, 1939, 1921, 1934, 1946, 1947, 1924, 1923, 1948",36,1,3.883495145631068e-4,0.009274775907510364,0,1.6589250165892502e-4
中國銀行,ORG,"1915, 1916, 1920, 1925, 1918, 1936, 1940, 1929, 1923, 1941, 1924, 1946, 1919, 1914, 1935, 1926, 1932, 1922, 1921, 1933, 1931, 1913, 1937, 1939, 1943, 1928, 1898, 1934, 1949, 1917, 1947, 1948, 1930, 1927, 1938",287,0,0,0,0,NA
中國電報局,ORG,"1916, 1898, 1932, 1930, 1918",5,0,0,0,0,NA
中央執行委員會,ORG,"1928, 1927, 1929, 1936, 1933, 1925, 1935, 1926, 1930, 1931, 1947, 1948, 1946, 1949, 1890",61,0,0,0,0,NA
中庸洋行,ORG,"1878, 1919, 1905, 1900, 1903, 1901, 1888, 1930, 1899",10,9,0.003495145631067961,0.03057018057482399,936.0536218377044,1.7433751743375174e-4
中華銀行,ORG,"1923, 1924, 1914, 1912, 1922, 1915, 1947, 1913, 1916, 1925, 1917, 1898, 1932, 1943, 1942, 1933, 1946, 1918",35,1,3.883495145631068e-4,0.002153455644509087,0,1.375515818431912e-4
中西大藥房,ORG,"1948, 1890, 1937, 1935, 1928, 1931, 1933, 1939, 1926, 1932, 1947, 1924, 1915, 1934, 1923, 1927, 1930, 1946, 1929, 1898",87,5,0.001941747572815534,0.0034499261795027107,30.220280531139903,1.3206550449022716e-4
中西藥房,ORG,"1926, 1927, 1930, 1933, 1899, 1897, 1931, 1914, 1928, 1934, 1932, 1925, 1937, 1935, 1896, 1900, 1898, 1929, 1924",60,0,0,0,0,NA
久大,ORG,"1925, 1915, 1899, 1881, 1922, 1931, 1921",9,1,3.883495145631068e-4,0.009274775907510364,0,1.6589250165892502e-4
九江府,ORG,"1893, 1887, 1900, 1897, 1888",5,1,3.883495145631068e-4,0.007592481630288174,0,1.6388069485414618e-4
二十三七鋪巡防,ORG,"1901, 1900, 1894, 1904, 1893",6,14,0.005436893203883495,0.05381825955316277,4115.3158349339565,1.7170329670329672e-4
亞士,PERSON,"1881, 1908, 1886, 1901, 1930, 1940, 1939",9,4,0.0015533980582524273,0.024051818465589906,416.2402508430884,1.642845408247084e-4
亞士洋行,ORG,"1898, 1899, 1884, 1916",6,8,0.0031067961165048546,0.016059772873152956,1560.4371458844103,1.7129153819801302e-4
亨達利洋行,ORG,"1922, 1918, 1927, 1920, 1929, 1928, 1873, 1901, 1872, 1886",14,6,0.002330097087378641,0.008104575256291949,1782.7041784464823,1.5142337976983646e-4
仁壽堂,ORG,"1891, 1918, 1926, 1936, 1915",6,1,3.883495145631068e-4,0,0,1
仁濟善堂,ORG,"1891, 1892, 1900, 1885, 1899, 1890, 1894, 1903, 1889, 1896, 1897, 1893, 1898, 1919, 1920, 1904, 1895, 1913, 1934, 1939, 1923, 1886, 1940, 1935, 1936, 1924, 1931, 1942",39,31,0.012038834951456311,0.06609367216934729,10923.407820313241,1.8162005085361425e-4
仁濟醫院,ORG,"1918, 1907, 1947, 1894, 1891, 1927, 1933, 1915, 1893, 1886, 1924, 1938, 1909, 1922, 1884, 1935, 1908, 1925, 1889, 1923, 1902, 1912, 1917, 1919, 1929, 1921, 1885, 1926, 1946, 1928, 1934, 1892, 1911, 1936, 1941, 1930, 1881, 1910, 1879, 1898, 1931, 1906, 1914, 1940, 1949, 1939, 1932, 1913, 1937, 1916, 1876, 1880",183,23,0.008932038834951457,0.0392203263603263,11991.11896635309,1.8011527377521613e-4
仁濟醫館,ORG,"1878, 1887, 1895, 1899, 1894, 1903, 1881, 1904, 1882, 1902, 1900, 1884, 1874, 1880, 1897, 1883",29,21,0.008155339805825243,0.06511494102725132,8816.972250891307,1.864975755315181e-4
仁記洋行,ORG,"1888, 1915, 1890, 1896, 1918, 1931, 1906",13,7,0.0027184466019417475,0.01773878540827118,193.8267548669629,1.6388069485414618e-4
仲泉,PERSON,"1898, 1899",5,3,0.0011650485436893205,0.046649696387279484,185.6663095646048,1.7196904557179707e-4
任阜長,PERSON,"1887, 1920, 1932, 1936",5,0,0,0,0,NA
伊友,PERSON,"1920, 1917, 1916, 1899, 1883",6,0,0,0,0,NA
伊子,PERSON,"1889, 1915, 1920, 1922, 1899, 1917, 1895, 1904, 1897, 1919, 1901, 1886, 1916, 1903, 1911, 1918, 1908, 1912, 1914, 1902, 1905, 1907, 1898, 1906, 1878, 1940, 1921, 1927",42,9,0.003495145631067961,0.05769334604398625,1238.582391804,1.6423057973394647e-4
伊洋,PERSON,"1923, 1897, 1885, 1888, 1891",5,0,0,0,0,NA
伊父,PERSON,"1910, 1908, 1909, 1897, 1896, 1936",6,0,0,0,0,NA
伊言,PERSON,"1892, 1889, 1893, 1894",5,1,3.883495145631068e-4,0.03644285045209218,0,1.7009695526450075e-4
伊麽田,PERSON,"1897, 1904, 1895, 1901, 1900",5,2,7.766990291262136e-4,0.006559677235024837,57.09669380930239,1.4838996883810655e-4
