Type,Text,DocId,Year,n
PERSON,丁乃揚,SPSP192408031201,1924,7
PERSON,丁乃揚,SPSP192009150701,1920,7
PERSON,丁乃揚,SPSP191907280601,1919,7
PERSON,丁乃揚,SPSP192306270301,1923,7
PERSON,丁乃揚,SPSP192202041201,1922,7
PERSON,丁乃揚,SPSP191910070601,1919,7
PERSON,丁乃揚,SPSP191910150701,1919,7
PERSON,丁仁,SPSP192406151019,1924,10
PERSON,丁仁,SPSP192311271005,1923,10
PERSON,丁仁,SPSP192301041005,1923,10
PERSON,丁仁,SPSP192305091101,1923,10
PERSON,丁仁,SPSP192304181001,1923,10
PERSON,丁仁,SPSP192307061101,1923,10
PERSON,丁仁,SPSP192407031101,1924,10
PERSON,丁仁,SPSP192306141001,1923,10
PERSON,丁仁,SPSP192407051004,1924,10
PERSON,丁仁,SPSP192312271001,1923,10
PERSON,丁仲英,SPSP191207090725,1912,15
PERSON,丁仲英,SPSP193602271215,1936,15
PERSON,丁仲英,SPSP192705290601,1927,15
PERSON,丁仲英,SPSP193411181001,1934,15
PERSON,丁仲英,SPSP193005120901,1930,15
PERSON,丁仲英,SPSP193008020701,1930,15
PERSON,丁仲英,SPSP192806071501,1928,15
PERSON,丁仲英,SPSP193106030801,1931,15
PERSON,丁仲英,SPSP193307112001,1933,15
PERSON,丁仲英,SPSP193703041201,1937,15
PERSON,丁仲英,SPSP193507040401,1935,15
PERSON,丁仲英,SPSP192802232401,1928,15
PERSON,丁仲英,SPSP193511011301,1935,15
PERSON,丁仲英,SPSP193104200501,1931,15
PERSON,丁仲英,SPSP194810200101,1948,15
PERSON,丁名全,SPSP193311082201,1933,17
PERSON,丁名全,SPSP193501240601,1935,17
PERSON,丁名全,SPSP193111250701,1931,17
PERSON,丁名全,SPSP193312251401,1933,17
PERSON,丁名全,SPSP193208112001,1932,17
PERSON,丁名全,SPSP193908050601,1939,17
PERSON,丁名全,SPSP193109300801,1931,17
PERSON,丁名全,SPSP193210231501,1932,17
PERSON,丁名全,SPSP193912260901,1939,17
PERSON,丁名全,SPSP193905121401,1939,17
PERSON,丁名全,SPSP193407232001,1934,17
PERSON,丁名全,SPSP193102200601,1931,17
PERSON,丁名全,SPSP193107011401,1931,17
PERSON,丁名全,SPSP194004291101,1940,17
PERSON,丁名全,SPSP193203270701,1932,17
PERSON,丁名全,SPSP193005111001,1930,17
PERSON,丁名全,SPSP192806051501,1928,17
PERSON,丁婉娥,SPSP193612221212,1936,9
PERSON,丁婉娥,SPSP193311082201,1933,9
PERSON,丁婉娥,SPSP192607031601,1926,9
PERSON,丁婉娥,SPSP192608142601,1926,9
PERSON,丁婉娥,SPSP193306062601,1933,9
PERSON,丁婉娥,SPSP192807022401,1928,9
PERSON,丁婉娥,SPSP193303142801,1933,9
PERSON,丁婉娥,SPSP192804142201,1928,9
PERSON,丁婉娥,SPSP192804152201,1928,9
PERSON,丁子盈,SPSP192202260401,1922,5
PERSON,丁子盈,SPSP192201210401,1922,5
PERSON,丁子盈,SPSP192201120401,1922,5
PERSON,丁子盈,SPSP192202220301,1922,5
