docnum,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,DocId,Year
1,0.024075631605129363,0.0025721481318903726,0.3184880398336989,0.004679688238721708,0.20546177331978374,0.2790694679244267,7.041637507028332e-6,0.16564620930884222,SPSP194803280901,1948
2,0.0020963304739396757,0.0017354273400741022,0.9883643229082115,1.6403805634133216e-4,0.003294027605596762,0.001490383256407517,1.0185251796832963e-5,0.0028452851076325217,SPSP194307270401,1943
3,0.0024281690333786132,0.003987735979356696,0.005840737782092231,0.011143429184946905,0.9242642117202255,0.05060435199559644,1.4610993274121546e-4,0.0015852543716622822,SPSP193905081801,1939
4,0.005979793622945704,0.0036960152369624323,0.8751589504561278,0.0024233027345504903,0.029496920503911825,0.049338704209959935,4.6630278198562906e-5,0.033859682957343394,SPSP194106010901,1941
5,0.001769142875639424,0.02111209614765197,0.02558188158526361,0.010453819850565364,0.010745493004330281,0.5653888107767671,1.963790140835514e-5,0.36492911785837395,SPSP194801290910,1948
6,0.0011812631816254643,0.0027698932334971043,0.0183166359484777,0.013145320987882724,0.844973394511373,0.11830981174748594,3.233718377396395e-5,0.0012713432058842355,SPSP194606060801,1946
7,0.074011630506688,0.007154399363803901,0.27738441367900873,0.025683574665393245,0.43676465408320125,0.16434765814294988,0.002108770750184558,0.012544898808770352,SPSP192804261901,1928
8,0.0013864440905474518,0.010752134383822038,0.0014092399824671903,0.008004064028004854,0.8179303217477478,0.15874054338727858,5.605158841831148e-4,0.0012167364959485296,SPSP193405232101,1934
9,0.003759569498272105,0.01961827020613312,0.0052901904475997855,0.03981410048237784,0.025879123414974347,0.8919274068700336,3.468775884823729e-4,0.013364461492126622,SPSP193711220613,1937
10,0.0045011684902430595,0.016332344172958688,0.0023842875956415215,0.006111315896374393,0.9550861751695383,0.004971625150092368,0.00922367647958043,0.0013894070455713306,SPSP192504260701,1925
11,0.009067379245569376,0.4653879571291864,3.3980218247573e-4,0.014670861118652305,0.0018203315288830113,7.006307513497807e-4,0.4988259284955294,0.009187109548353932,SPSP190910031914,1909
12,0.0022133594309476923,0.0016908795252802106,4.648415413326996e-7,0.0014299754563527679,1.3690241862021067e-5,9.440559273569759e-7,0.9938618982141433,7.887882339452661e-4,SPSP188309270101,1883
13,0.0019178703986550477,0.0030312509441775284,1.0209825139114293e-6,0.001922555844441539,2.7364804035877778e-5,2.1764818676444635e-06,0.9922896135907768,8.081469535316885e-4,SPSP188712270205,1887
14,0.0022473267460271155,0.0016995324498453852,4.698446398067008e-7,0.001449214810283859,1.3816960035524778e-5,9.58769073182957e-7,0.9937843033581159,8.043770619792859e-4,SPSP188310060102,1883
15,0.2619854008594543,0.0016773340178131732,1.1269229722073453e-5,0.0038167810554729873,1.634684124347856e-4,4.77162395276988e-6,0.7230525311432302,0.009288443657919476,SPSP188309250101,1883
16,0.1481829414658647,0.0098583772998831,0.14383230761437335,0.04552077880613983,0.013276544147978431,0.45666787602207504,1.6827531114377184e-4,0.1824928993325417,SPSP193703190801,1937
17,0.0025701523666436204,0.0026191837039021906,0.0037476394222729294,0.0029772964346195386,0.9813167788740137,0.005753149259074883,2.542836923653619e-4,7.615162471080534e-4,SPSP193412061501,1934
18,0.004721450036291611,0.008132736069645975,9.123915461762619e-4,0.07282959252453731,0.8609377164747563,0.008529506786935906,0.04206523053441095,0.001871376027246022,SPSP191905121401,1919
19,0.0070947274190103285,0.004338593850456918,0.0013921022137292013,0.09333520778971582,0.86262085154446,0.009007233680595531,0.0096732450281214,0.012538038473910587,SPSP191903071401,1919
20,0.027775119777319213,0.004305181832772077,0.0020569052336171455,0.050259038639724224,0.8858331104751686,0.012263399466715235,0.009551007130019913,0.007956237444663663,SPSP191903311401,1919
21,0.0032918703348502882,0.0047825020280613945,2.296368486128042e-6,0.0033994665893194343,5.47278615758327e-5,5.4152391183018055e-6,0.9869542717807683,0.0015094497978199607,SPSP188903250402,1889
22,0.1345827216888448,0.16692268726922793,0.003332788405009544,0.5142156669634025,0.029391879389702568,0.023846618644707503,0.1032442017242265,0.024463435914878574,SPSP191807010708,1918
23,0.0042630507387013275,0.827478172962747,0.019669541681693384,0.07979145280287979,0.033023255236441985,0.010366002849793022,0.01506585054269407,0.010342673185049158,SPSP192809271501,1928
24,0.008047816065214281,0.004866182332138957,8.026573884688016e-4,0.3859565681721929,0.002428961284687325,0.01321889845698768,0.005266343649730861,0.5794125726505792,SPSP191812210201,1918
25,0.0075142999903692505,0.03649433433729279,0.03958941376776175,0.019466791794788264,0.7863001974624844,0.10402216510178633,3.674697719274974e-4,0.00624532777358951,SPSP194207080702,1942
26,0.10445111921448809,0.026503400124408667,0.14357117464346297,0.007506762840368281,0.01263114911717822,0.012024939290274836,0.0015632897153428722,0.691748165054476,SPSP192801101604,1928
27,2.1983536222355083e-4,0.007769592631995249,9.733864424354155e-4,0.029373909554704567,0.005460479555747773,0.9550904355487343,2.5550871084151934e-5,0.0010868100330752807,SPSP194604050101,1946
28,0.7340968291663007,0.07033770707025443,0.04079335060998713,0.014688020081857971,0.003180372433734311,0.0014946941904458234,0.01750195671712519,0.1179070697302944,SPSP191412041101,1914
29,0.00897039628312729,0.00862256359407725,0.010841575446068846,0.00969510377634131,0.9384763453101485,0.019065033526950676,8.012906397429654e-4,0.003527691423543207,SPSP193305251507,1933
30,0.004607319230458682,0.005491015651823711,0.04140803302731675,0.007061059071679041,0.7513075383766786,0.1735461645198128,2.9706116535333947e-5,0.016549164005694717,SPSP194605070512,1946
31,0.006108743728561002,0.003225155333496958,0.3344234829151912,0.0039982978839845015,0.4535838891645671,0.08094689994699157,9.00552878560888e-5,0.11762347573935131,SPSP193911131201,1939
32,0.003988409539101934,0.010606289945999324,8.380712328772514e-4,0.09589940717779331,0.01168858893861473,0.8620169353543038,0.0014199696944567663,0.013542328116852811,SPSP192803031302,1928
33,0.008729591972695069,0.0033304383994049182,0.9331075588070744,8.45794856804577e-4,0.005377814062215221,0.001030688627921158,6.048676167470513e-4,0.04697324565713771,SPSP192712112101,1927
34,0.3292075831549886,0.0098577583999135809,0.017197113323548445,0.01611833102338681,0.6027771784989068,0.010184597665722007,0.0040196705693969345,0.010637767364136595,SPSP192408101910,1924
35,0.5834973769973408,0.002204996939637426,4.386778121002951e-5,0.004357920894460123,5.486831969813504e-4,1.2314157981205084e-5,0.4008594470040164,0.008475393028372934,SPSP188801190404,1888
